"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","19614","0.0-0.0","2025-04-24T21:02:08.389Z","3_9xdtzk","","","","","","","","","","","","",""
"","","","","","survey","1","37351","0.0-1.0","2025-04-24T21:02:08.389Z","3_9xdtzk","17691","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","4091203","0.0-2.0","2025-04-24T21:02:08.389Z","3_9xdtzk","4053864","{""subject_id"":""3_9xdtzk""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","4333447","0.0-3.0","2025-04-24T21:02:08.389Z","3_9xdtzk","242237","25","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","4339897","0.0-4.0","2025-04-24T21:02:08.389Z","3_9xdtzk","6445","81","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","4363912","0.0-5.0","2025-04-24T21:02:08.389Z","3_9xdtzk","24010","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","4546512","0.0-6.0","2025-04-24T21:02:08.389Z","3_9xdtzk","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","4546517","0.0-7.0-0.0","2025-04-24T21:02:08.389Z","3_9xdtzk","","","","","","","","","","","","",""
"","","","","","survey","8","4660341","0.0-7.0-1.0","2025-04-24T21:02:08.389Z","3_9xdtzk","113702","{""PCIRest1"":2,""PCIRest2"":0,""PCIRest3"":1,""PCIRest4"":2,""PCIRest5"":0,""PCIRest6"":5,""PCIRest7"":1,""PCIRest8"":5,""PCIRest9"":3,""PCIRest10"":5,""PCIRest11"":0,""PCIRest12"":0,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","4660343","0.0-7.0-2.0","2025-04-24T21:02:08.389Z","3_9xdtzk","","","","","","","","","","","","",""
