"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","36168","0.0-0.0","2025-05-27T16:38:06.778Z","3_vngh61","","","","","","","","","","","","",""
"","","","","","survey","1","44892","0.0-1.0","2025-05-27T16:38:06.778Z","3_vngh61","8620","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","5971821","0.0-2.0","2025-05-27T16:38:06.778Z","3_vngh61","5930555","{""subject_id"":""3_vngh61""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","6183321","0.0-3.0-0.0","2025-05-27T16:38:06.778Z","3_vngh61","211491","100","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","6189301","0.0-3.0-1.0","2025-05-27T16:38:06.778Z","3_vngh61","5975","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","6202797","0.0-3.0-2.0","2025-05-27T16:38:06.778Z","3_vngh61","13488","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","6385432","0.0-3.0-3.0","2025-05-27T16:38:06.778Z","3_vngh61","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","6385437","0.0-3.0-4.0-0.0","2025-05-27T16:38:06.778Z","3_vngh61","","","","","","","","","","","","",""
"","","","","","survey","8","6561207","0.0-3.0-4.0-1.0","2025-05-27T16:38:06.778Z","3_vngh61","175605","{""PCIRest1"":5,""PCIRest2"":1,""PCIRest3"":1,""PCIRest4"":6,""PCIRest5"":2,""PCIRest6"":6,""PCIRest7"":2,""PCIRest8"":0,""PCIRest9"":2,""PCIRest10"":5,""PCIRest11"":4,""PCIRest12"":0,""PCIRest13"":2,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","6561209","0.0-3.0-4.0-2.0","2025-05-27T16:38:06.778Z","3_vngh61","","","","","","","","","","","","",""
"","","","","","instructions","10","6631921","0.0-3.0-5.0","2025-05-27T16:38:06.778Z","3_vngh61","70710","","instructions1","","","","[{""page_index"":0,""viewing_time"":70707}]","","","","","",""
"","","","","","html-button-response","11","6811285","0.0-3.0-6.0","2025-05-27T16:38:06.778Z","3_vngh61","179350","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","9001406","0.0-3.0-7.0","2025-05-27T16:38:06.778Z","3_vngh61","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","9001407","0.0-3.0-8.0-0.0","2025-05-27T16:38:06.778Z","3_vngh61","","","","","","","","","","","","",""
"","","","","","survey","14","9531854","0.0-3.0-8.0-1.0","2025-05-27T16:38:06.778Z","3_vngh61","530366","{""PCIGanz1"":6,""PCIGanz2"":0,""PCIGanz3"":6,""PCIGanz4"":6,""PCIGanz5"":5,""PCIGanz6"":4,""PCIGanz7"":5,""PCIGanz8"":1,""PCIGanz9"":1,""PCIGanz10"":2,""PCIGanz11"":5,""PCIGanz12"":1,""PCIGanz13"":1,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","9531855","0.0-3.0-8.0-2.0","2025-05-27T16:38:06.778Z","3_vngh61","","","","","","","","","","","","",""
"","","","","","survey","16","9592598","0.0-3.0-9.0","2025-05-27T16:38:06.778Z","3_vngh61","60720","{""DSSQ"":{""DSSQ01"":5,""DSSQ02"":5,""DSSQ03"":1,""DSSQ04"":2,""DSSQ05"":3,""DSSQ06"":2,""DSSQ07"":2,""DSSQ08"":5},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","9610111","0.0-3.0-10.0","2025-05-27T16:38:06.778Z","3_vngh61","17509","66","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","9615664","0.0-3.0-11.0","2025-05-27T16:38:06.778Z","3_vngh61","5551","38","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","9716380","0.0-4.0","2025-05-27T16:38:06.778Z","3_vngh61","100715","","instructions2","","","","[{""page_index"":0,""viewing_time"":100714}]","","","","","",""
"","","","","","html-button-response","20","9721454","0.0-5.0","2025-05-27T16:38:06.778Z","3_vngh61","5071","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","18","3","2","../video/26 D Chaise Longue.mp4","../video/26 C Neo Interrogation.mp4",""
"true","false","[]","[]","[]","preload","21","9727635","0.0-6.0","2025-05-27T16:38:06.778Z","3_vngh61","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","9879568","0.0-7.0-0.0","2025-05-27T16:38:06.778Z","3_vngh61","151923","{""ClipA"":""24"",""ClipB"":""0""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","9885060","0.0-8.0","2025-05-27T16:38:06.778Z","3_vngh61","5489","0","videoTargetIntro","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","","","","[""../video/26 D Chaise Longue.mp4""]"
"","","","","","video-keyboard-response","24","9947494","0.0-9.0","2025-05-27T16:38:06.778Z","3_vngh61","null","null","videoTarget","[""../video/26 D Chaise Longue.mp4""]","","","","","","","","",""
