"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","7871","0.0-0.0","2025-11-24T13:05:20.218Z","2_xbw0ez","","","","","","","","","","","","",""
"","","","","","survey","1","13492","0.0-1.0","2025-11-24T13:05:20.218Z","2_xbw0ez","5599","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","35537","0.0-2.0","2025-11-24T13:05:20.218Z","2_xbw0ez","22017","{""subject_id"":""2_xbw0ez""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","79094","0.0-3.0-0.0","2025-11-24T13:05:20.218Z","2_xbw0ez","43557","27","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","83693","0.0-3.0-1.0","2025-11-24T13:05:20.218Z","2_xbw0ez","4596","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","281211","0.0-3.0-2.0","2025-11-24T13:05:20.218Z","2_xbw0ez","197516","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","463718","0.0-3.0-3.0","2025-11-24T13:05:20.218Z","2_xbw0ez","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","463719","0.0-3.0-4.0-0.0","2025-11-24T13:05:20.218Z","2_xbw0ez","","","","","","","","","","","","",""
"","","","","","survey","8","677749","0.0-3.0-4.0-1.0","2025-11-24T13:05:20.218Z","2_xbw0ez","213978","{""PCIRest1"":2,""PCIRest2"":0,""PCIRest3"":6,""PCIRest4"":5,""PCIRest5"":1,""PCIRest6"":5,""PCIRest7"":6,""PCIRest8"":4,""PCIRest9"":1,""PCIRest10"":2,""PCIRest11"":0,""PCIRest12"":6,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","677750","0.0-3.0-4.0-2.0","2025-11-24T13:05:20.218Z","2_xbw0ez","","","","","","","","","","","","",""
"","","","","","instructions","10","712307","0.0-3.0-5.0","2025-11-24T13:05:20.218Z","2_xbw0ez","34556","","instructions1","","","","[{""page_index"":0,""viewing_time"":34556}]","","","","","",""
"","","","","","html-button-response","11","754903","0.0-3.0-6.0","2025-11-24T13:05:20.218Z","2_xbw0ez","42579","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","2945069","0.0-3.0-7.0","2025-11-24T13:05:20.218Z","2_xbw0ez","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","2945071","0.0-3.0-8.0-0.0","2025-11-24T13:05:20.218Z","2_xbw0ez","","","","","","","","","","","","",""
"","","","","","survey","14","3276220","0.0-3.0-8.0-1.0","2025-11-24T13:05:20.218Z","2_xbw0ez","331099","{""PCIGanz1"":6,""PCIGanz2"":0,""PCIGanz3"":2,""PCIGanz4"":2,""PCIGanz5"":4,""PCIGanz6"":6,""PCIGanz7"":2,""PCIGanz8"":0,""PCIGanz9"":5,""PCIGanz10"":1,""PCIGanz11"":2,""PCIGanz12"":1,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3276221","0.0-3.0-8.0-2.0","2025-11-24T13:05:20.218Z","2_xbw0ez","","","","","","","","","","","","",""
"","","","","","survey","16","3350355","0.0-3.0-9.0","2025-11-24T13:05:20.218Z","2_xbw0ez","74120","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":3,""DSSQ03"":1,""DSSQ04"":1,""DSSQ05"":1,""DSSQ06"":1,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","3366768","0.0-3.0-10.0","2025-11-24T13:05:20.218Z","2_xbw0ez","16412","29","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","3374716","0.0-3.0-11.0","2025-11-24T13:05:20.218Z","2_xbw0ez","7946","47","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","3396079","0.0-4.0","2025-11-24T13:05:20.218Z","2_xbw0ez","21363","","instructions2","","","","[{""page_index"":0,""viewing_time"":21362}]","","","","","",""
"","","","","","html-button-response","20","3398607","0.0-5.0","2025-11-24T13:05:20.218Z","2_xbw0ez","2525","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","17","2","3","../video/25 C Goldfish.mp4","../video/25 D Pyramid Flyby.mp4",""
"true","false","[]","[]","[]","preload","21","3402606","0.0-6.0","2025-11-24T13:05:20.218Z","2_xbw0ez","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","3781354","0.0-7.0-0.0","2025-11-24T13:05:20.218Z","2_xbw0ez","378739","{""ClipA"":""10"",""ClipB"":""96""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","3783804","0.0-8.0","2025-11-24T13:05:20.218Z","2_xbw0ez","2448","0","videoTargetIntro","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","","","","[""../video/25 C Goldfish.mp4""]"
"","","","","","video-keyboard-response","24","3842654","0.0-9.0","2025-11-24T13:05:20.218Z","2_xbw0ez","null","null","videoTarget","[""../video/25 C Goldfish.mp4""]","","","","","","","","",""
