"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","28225","0.0-0.0","2025-12-12T12:42:45.098Z","2_7a5jg5","","","","","","","","","","","","",""
"","","","","","survey","1","85841","0.0-1.0","2025-12-12T12:42:45.098Z","2_7a5jg5","57578","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","88941","0.0-2.0","2025-12-12T12:42:45.098Z","2_7a5jg5","3043","{""subject_id"":""2_7a5jg5""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","120257","0.0-3.0-0.0","2025-12-12T12:42:45.098Z","2_7a5jg5","31312","50","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","126657","0.0-3.0-1.0","2025-12-12T12:42:45.098Z","2_7a5jg5","6398","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","143231","0.0-3.0-2.0","2025-12-12T12:42:45.098Z","2_7a5jg5","16572","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","325739","0.0-3.0-3.0","2025-12-12T12:42:45.098Z","2_7a5jg5","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","325741","0.0-3.0-4.0-0.0","2025-12-12T12:42:45.098Z","2_7a5jg5","","","","","","","","","","","","",""
"","","","","","survey","8","418993","0.0-3.0-4.0-1.0","2025-12-12T12:42:45.098Z","2_7a5jg5","93158","{""PCIRest1"":5,""PCIRest2"":1,""PCIRest3"":3,""PCIRest4"":4,""PCIRest5"":0,""PCIRest6"":5,""PCIRest7"":1,""PCIRest8"":1,""PCIRest9"":4,""PCIRest10"":6,""PCIRest11"":0,""PCIRest12"":1,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","418995","0.0-3.0-4.0-2.0","2025-12-12T12:42:45.098Z","2_7a5jg5","","","","","","","","","","","","",""
"","","","","","instructions","10","457072","0.0-3.0-5.0","2025-12-12T12:42:45.098Z","2_7a5jg5","38073","","instructions1","","","","[{""page_index"":0,""viewing_time"":38073}]","","","","","",""
"","","","","","html-button-response","11","553763","0.0-3.0-6.0","2025-12-12T12:42:45.098Z","2_7a5jg5","96663","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","2744717","0.0-3.0-7.0","2025-12-12T12:42:45.098Z","2_7a5jg5","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","2744719","0.0-3.0-8.0-0.0","2025-12-12T12:42:45.098Z","2_7a5jg5","","","","","","","","","","","","",""
"","","","","","survey","14","3189257","0.0-3.0-8.0-1.0","2025-12-12T12:42:45.098Z","2_7a5jg5","444440","{""PCIGanz1"":5,""PCIGanz2"":1,""PCIGanz3"":0,""PCIGanz4"":2,""PCIGanz5"":5,""PCIGanz6"":5,""PCIGanz7"":0,""PCIGanz8"":1,""PCIGanz9"":4,""PCIGanz10"":1,""PCIGanz11"":5,""PCIGanz12"":1,""PCIGanz13"":5,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3189260","0.0-3.0-8.0-2.0","2025-12-12T12:42:45.098Z","2_7a5jg5","","","","","","","","","","","","",""
"","","","","","survey","16","3230079","0.0-3.0-9.0","2025-12-12T12:42:45.098Z","2_7a5jg5","40777","{""DSSQ"":{""DSSQ01"":4,""DSSQ02"":5,""DSSQ03"":4,""DSSQ04"":5,""DSSQ05"":5,""DSSQ06"":5,""DSSQ07"":5,""DSSQ08"":5},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","3237750","0.0-3.0-10.0","2025-12-12T12:42:45.098Z","2_7a5jg5","7666","87","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","3244456","0.0-3.0-11.0","2025-12-12T12:42:45.098Z","2_7a5jg5","6703","100","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","3282276","0.0-4.0","2025-12-12T12:42:45.098Z","2_7a5jg5","37819","","instructions2","","","","[{""page_index"":0,""viewing_time"":37819}]","","","","","",""
"","","","","","html-button-response","20","3286204","0.0-5.0","2025-12-12T12:42:45.098Z","2_7a5jg5","3924","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","4","2","0","../video/12 C Battle Preparations.mp4","../video/12 A The Good The Bad and the Ugly.mp4",""
"true","false","[]","[]","[]","preload","21","3295965","0.0-6.0","2025-12-12T12:42:45.098Z","2_7a5jg5","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","3984628","0.0-7.0-0.0","2025-12-12T12:42:45.098Z","2_7a5jg5","688646","{""ClipA"":""30"",""ClipB"":""3""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","3986979","0.0-8.0","2025-12-12T12:42:45.098Z","2_7a5jg5","2349","0","videoTargetIntro","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","","","","[""../video/12 A The Good The Bad and the Ugly.mp4""]"
"","","","","","video-keyboard-response","24","4050819","0.0-9.0","2025-12-12T12:42:45.098Z","2_7a5jg5","null","null","videoTarget","[""../video/12 A The Good The Bad and the Ugly.mp4""]","","","","","","","","",""
