"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","29479","0.0-0.0","2025-06-23T11:57:34.352Z","6_70lo85","","","","","","","","","","","","",""
"","","","","","survey","1","32837","0.0-1.0","2025-06-23T11:57:34.352Z","6_70lo85","3296","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","45229","0.0-2.0","2025-06-23T11:57:34.352Z","6_70lo85","12350","{""subject_id"":""6_70lo85""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","57028","0.0-3.0-0.0","2025-06-23T11:57:34.352Z","6_70lo85","11795","88","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","60468","0.0-3.0-1.0","2025-06-23T11:57:34.352Z","6_70lo85","3437","89","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","110404","0.0-3.0-2.0","2025-06-23T11:57:34.352Z","6_70lo85","49933","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","292918","0.0-3.0-3.0","2025-06-23T11:57:34.352Z","6_70lo85","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","292922","0.0-3.0-4.0-0.0","2025-06-23T11:57:34.352Z","6_70lo85","","","","","","","","","","","","",""
"","","","","","survey","8","425378","0.0-3.0-4.0-1.0","2025-06-23T11:57:34.352Z","6_70lo85","132316","{""PCIRest1"":1,""PCIRest2"":3,""PCIRest3"":5,""PCIRest4"":6,""PCIRest5"":3,""PCIRest6"":3,""PCIRest7"":6,""PCIRest8"":1,""PCIRest9"":0,""PCIRest10"":4,""PCIRest11"":1,""PCIRest12"":3,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","425381","0.0-3.0-4.0-2.0","2025-06-23T11:57:34.352Z","6_70lo85","","","","","","","","","","","","",""
"","","","","","instructions","10","815187","0.0-3.0-5.0","2025-06-23T11:57:34.352Z","6_70lo85","389799","","instructions1","","","","[{""page_index"":0,""viewing_time"":389799}]","","","","","",""
"","","","","","html-button-response","11","896708","0.0-3.0-6.0","2025-06-23T11:57:34.352Z","6_70lo85","81482","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","3087779","0.0-3.0-7.0","2025-06-23T11:57:34.352Z","6_70lo85","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","3087786","0.0-3.0-8.0-0.0","2025-06-23T11:57:34.352Z","6_70lo85","","","","","","","","","","","","",""
"","","","","","survey","14","3272506","0.0-3.0-8.0-1.0","2025-06-23T11:57:34.352Z","6_70lo85","184475","{""PCIGanz1"":4,""PCIGanz2"":6,""PCIGanz3"":0,""PCIGanz4"":5,""PCIGanz5"":5,""PCIGanz6"":2,""PCIGanz7"":3,""PCIGanz8"":4,""PCIGanz9"":2,""PCIGanz10"":2,""PCIGanz11"":4,""PCIGanz12"":4,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3272510","0.0-3.0-8.0-2.0","2025-06-23T11:57:34.352Z","6_70lo85","","","","","","","","","","","","",""
"","","","","","survey","16","3308797","0.0-3.0-9.0","2025-06-23T11:57:34.352Z","6_70lo85","36225","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":2,""DSSQ03"":3,""DSSQ04"":4,""DSSQ05"":3,""DSSQ06"":4,""DSSQ07"":3,""DSSQ08"":4},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","3315377","0.0-3.0-10.0","2025-06-23T11:57:34.352Z","6_70lo85","6575","42","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
