"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","19764","0.0-0.0","2025-07-14T20:37:39.262Z","3_59hlad","","","","","","","","","","","","",""
"","","","","","survey","1","60964","0.0-1.0","2025-07-14T20:37:39.262Z","3_59hlad","41133","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","4329554","0.0-2.0","2025-07-14T20:37:39.262Z","3_59hlad","4268562","{""subject_id"":""3_59hlad""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","4448779","0.0-3.0-0.0","2025-07-14T20:37:39.262Z","3_59hlad","119211","50","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","4460248","0.0-3.0-1.0","2025-07-14T20:37:39.262Z","3_59hlad","11463","82","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","4518014","0.0-3.0-2.0","2025-07-14T20:37:39.262Z","3_59hlad","57759","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","4700629","0.0-3.0-3.0","2025-07-14T20:37:39.262Z","3_59hlad","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","4700633","0.0-3.0-4.0-0.0","2025-07-14T20:37:39.262Z","3_59hlad","","","","","","","","","","","","",""
"","","","","","survey","8","4814407","0.0-3.0-4.0-1.0","2025-07-14T20:37:39.262Z","3_59hlad","113658","{""PCIRest1"":4,""PCIRest2"":3,""PCIRest3"":2,""PCIRest4"":6,""PCIRest5"":2,""PCIRest6"":4,""PCIRest7"":1,""PCIRest8"":1,""PCIRest9"":1,""PCIRest10"":4,""PCIRest11"":5,""PCIRest12"":2,""PCIRest13"":2,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","4814409","0.0-3.0-4.0-2.0","2025-07-14T20:37:39.262Z","3_59hlad","","","","","","","","","","","","",""
