"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","43725","0.0-0.0","2024-08-28T17:28:45.225Z","3_yr8w7v","","","","","","","","","","","",""
"","","","","","survey","1","73312","0.0-1.0","2024-08-28T17:28:45.225Z","3_yr8w7v","29382","{""testrun"":""Experiment""}","testrun","","","","","","","","",""
"","","","","","survey-text","2","5512348","0.0-2.0","2024-08-28T17:28:45.225Z","3_yr8w7v","5439043","{""subject_id"":""3_yr8w7v""}","welcome","","","","","","","","",""
"","","","","","html-slider-response","3","5528643","0.0-3.0","2024-08-28T17:28:45.225Z","3_yr8w7v","16282","77","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","",""
"","","","","","html-slider-response","4","5537571","0.0-4.0","2024-08-28T17:28:45.225Z","3_yr8w7v","8928","80","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","",""
"","","","","","html-button-response","5","5557557","0.0-5.0","2024-08-28T17:28:45.225Z","3_yr8w7v","19981","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","",""
"","","","","","html-keyboard-response","6","5740157","0.0-6.0","2024-08-28T17:28:45.225Z","3_yr8w7v","null","null","rest","","","","","","","","",""
"","","","","","call-function","7","5740160","0.0-7.0-0.0","2024-08-28T17:28:45.225Z","3_yr8w7v","","","","","","","","","","","",""
"","","","","","survey","8","5904235","0.0-7.0-1.0","2024-08-28T17:28:45.225Z","3_yr8w7v","163937","{""PCIRest1"":5,""PCIRest2"":4,""PCIRest3"":6,""PCIRest4"":5,""PCIRest5"":4,""PCIRest6"":3,""PCIRest7"":6,""PCIRest8"":0,""PCIRest9"":0,""PCIRest10"":2,""PCIRest11"":0,""PCIRest12"":4,""PCIRest13"":4,""PCIIntro"":null}","PCIRest","","","","","","","","",""
"","","","","","call-function","9","5904238","0.0-7.0-2.0","2024-08-28T17:28:45.225Z","3_yr8w7v","","","","","","","","","","","",""
