"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","46448","0.0-0.0","2025-01-21T11:12:06.825Z","2_srrc1h","","","","","","","","","","","","",""
"","","","","","survey","1","557443","0.0-1.0","2025-01-21T11:12:06.825Z","2_srrc1h","510866","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","564239","0.0-2.0","2025-01-21T11:12:06.825Z","2_srrc1h","6758","{""subject_id"":""2_srrc1h""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","593154","0.0-3.0","2025-01-21T11:12:06.825Z","2_srrc1h","28902","69","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","600565","0.0-4.0","2025-01-21T11:12:06.825Z","2_srrc1h","7406","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","614714","0.0-5.0","2025-01-21T11:12:06.825Z","2_srrc1h","14143","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","797327","0.0-6.0","2025-01-21T11:12:06.825Z","2_srrc1h","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","797345","0.0-7.0-0.0","2025-01-21T11:12:06.825Z","2_srrc1h","","","","","","","","","","","","",""
"","","","","","survey","8","956515","0.0-7.0-1.0","2025-01-21T11:12:06.825Z","2_srrc1h","159080","{""PCIRest1"":5,""PCIRest2"":3,""PCIRest3"":3,""PCIRest4"":5,""PCIRest5"":2,""PCIRest6"":5,""PCIRest7"":5,""PCIRest8"":1,""PCIRest9"":2,""PCIRest10"":5,""PCIRest11"":1,""PCIRest12"":1,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","956517","0.0-7.0-2.0","2025-01-21T11:12:06.825Z","2_srrc1h","","","","","","","","","","","","",""
"","","","","","instructions","10","998438","0.0-8.0","2025-01-21T11:12:06.825Z","2_srrc1h","41919","","instructions1","","","","[{""page_index"":0,""viewing_time"":41918}]","","","","","",""
"","","","","","html-button-response","11","1356044","0.0-9.0","2025-01-21T11:12:06.825Z","2_srrc1h","357581","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","3547351","0.0-10.0","2025-01-21T11:12:06.825Z","2_srrc1h","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","3547356","0.0-11.0-0.0","2025-01-21T11:12:06.825Z","2_srrc1h","","","","","","","","","","","","",""
"","","","","","survey","14","3779343","0.0-11.0-1.0","2025-01-21T11:12:06.825Z","2_srrc1h","231897","{""PCIGanz1"":4,""PCIGanz2"":4,""PCIGanz3"":2,""PCIGanz4"":5,""PCIGanz5"":4,""PCIGanz6"":1,""PCIGanz7"":2,""PCIGanz8"":2,""PCIGanz9"":2,""PCIGanz10"":2,""PCIGanz11"":4,""PCIGanz12"":4,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3779348","0.0-11.0-2.0","2025-01-21T11:12:06.825Z","2_srrc1h","","","","","","","","","","","","",""
"","","","","","survey","16","3830717","0.0-12.0","2025-01-21T11:12:06.825Z","2_srrc1h","51332","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":1,""DSSQ03"":1,""DSSQ04"":1,""DSSQ05"":2,""DSSQ06"":1,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","3840477","0.0-13.0","2025-01-21T11:12:06.825Z","2_srrc1h","9753","2","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","3851799","0.0-14.0","2025-01-21T11:12:06.825Z","2_srrc1h","11316","76","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","3870153","0.0-15.0","2025-01-21T11:12:06.825Z","2_srrc1h","18350","","instructions2","","","","[{""page_index"":0,""viewing_time"":18349}]","","","","","",""
"","","","","","html-button-response","20","3878512","0.0-16.0","2025-01-21T11:12:06.825Z","2_srrc1h","8348","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","1","1","2","../video/2 B Mozart Symphony.mp4","../video/2 C Insect Typewriter.mp4",""
"true","false","[]","[]","[]","preload","21","3887511","0.0-17.0","2025-01-21T11:12:06.825Z","2_srrc1h","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","4572304","0.0-18.0-0.0","2025-01-21T11:12:06.825Z","2_srrc1h","684773","{""ClipA"":""83"",""ClipB"":""36""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","4574866","0.0-19.0","2025-01-21T11:12:06.825Z","2_srrc1h","2553","0","videoTargetIntro","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","","","","[""../video/2 B Mozart Symphony.mp4""]"
"","","","","","video-keyboard-response","24","4640376","0.0-20.0","2025-01-21T11:12:06.825Z","2_srrc1h","null","null","videoTarget","[""../video/2 B Mozart Symphony.mp4""]","","","","","","","","",""
