"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB"
"true","false","[]","[]","[]","preload","0","11068","0.0-0.0","2024-06-13T15:58:24.596Z","5_wau294","","","","","","","","","","",""
"","","","","","survey-text","1","25560","0.0-1.0","2024-06-13T15:58:24.596Z","5_wau294","14477","{""subject_id"":""5_wau294""}","welcome","","","","","","","",""
"","","","","","html-slider-response","2","409838","0.0-2.0","2024-06-13T15:58:24.596Z","5_wau294","384277","2","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","",""
"","","","","","html-slider-response","3","415446","0.0-3.0","2024-06-13T15:58:24.596Z","5_wau294","5607","100","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","",""
"","","","","","html-button-response","4","430118","0.0-4.0","2024-06-13T15:58:24.596Z","5_wau294","14671","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten in einen Liegestuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","",""
"","","","","","html-keyboard-response","5","612624","0.0-5.0","2024-06-13T15:58:24.596Z","5_wau294","null","null","rest","","","","","","","",""
"","","","","","call-function","6","612626","0.0-6.0-0.0","2024-06-13T15:58:24.596Z","5_wau294","","","","","","","","","","",""
"","","","","","survey","7","881125","0.0-6.0-1.0","2024-06-13T15:58:24.596Z","5_wau294","268432","{""PCIRest1"":4,""PCIRest2"":0,""PCIRest3"":3,""PCIRest4"":5,""PCIRest5"":1,""PCIRest6"":6,""PCIRest7"":1,""PCIRest8"":2,""PCIRest9"":0,""PCIRest10"":5,""PCIRest11"":5,""PCIRest12"":1,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","",""
"","","","","","call-function","8","881126","0.0-6.0-2.0","2024-06-13T15:58:24.596Z","5_wau294","","","","","","","","","","",""
"","","","","","html-button-response","9","1024320","0.0-7.0","2024-06-13T15:58:24.596Z","5_wau294","143184","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","",""
