"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","31168","0.0-0.0","2025-01-24T10:31:46.776Z","2_5190yq","","","","","","","","","","","","",""
"","","","","","survey","1","35445","0.0-1.0","2025-01-24T10:31:46.776Z","2_5190yq","4195","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","44338","0.0-2.0","2025-01-24T10:31:46.776Z","2_5190yq","8839","{""subject_id"":""2_5190yq""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","77667","0.0-3.0","2025-01-24T10:31:46.776Z","2_5190yq","33323","33","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","83979","0.0-4.0","2025-01-24T10:31:46.776Z","2_5190yq","6307","80","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","93370","0.0-5.0","2025-01-24T10:31:46.776Z","2_5190yq","9386","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","275972","0.0-6.0","2025-01-24T10:31:46.776Z","2_5190yq","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","275976","0.0-7.0-0.0","2025-01-24T10:31:46.776Z","2_5190yq","","","","","","","","","","","","",""
"","","","","","survey","8","639790","0.0-7.0-1.0","2025-01-24T10:31:46.776Z","2_5190yq","363658","{""PCIRest1"":5,""PCIRest2"":1,""PCIRest3"":6,""PCIRest4"":2,""PCIRest5"":0,""PCIRest6"":6,""PCIRest7"":6,""PCIRest8"":2,""PCIRest9"":5,""PCIRest10"":5,""PCIRest11"":0,""PCIRest12"":1,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","639806","0.0-7.0-2.0","2025-01-24T10:31:46.776Z","2_5190yq","","","","","","","","","","","","",""
"","","","","","instructions","10","654469","0.0-8.0","2025-01-24T10:31:46.776Z","2_5190yq","14661","","instructions1","","","","[{""page_index"":0,""viewing_time"":14660}]","","","","","",""
"","","","","","html-button-response","11","788960","0.0-9.0","2025-01-24T10:31:46.776Z","2_5190yq","134487","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","2979135","0.0-10.0","2025-01-24T10:31:46.776Z","2_5190yq","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","2979142","0.0-11.0-0.0","2025-01-24T10:31:46.776Z","2_5190yq","","","","","","","","","","","","",""
