"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","6212","0.0-0.0","2025-04-25T06:19:44.293Z","5_evkpyg","","","","","","","","","","","","",""
"","","","","","survey","1","13336","0.0-1.0","2025-04-25T06:19:44.293Z","5_evkpyg","7101","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","208051","0.0-2.0","2025-04-25T06:19:44.293Z","5_evkpyg","194700","{""subject_id"":""5_evkpyg""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","216003","0.0-3.0","2025-04-25T06:19:44.293Z","5_evkpyg","7950","50","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","219827","0.0-4.0","2025-04-25T06:19:44.293Z","5_evkpyg","3823","69","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","228531","0.0-5.0","2025-04-25T06:19:44.293Z","5_evkpyg","8703","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","411047","0.0-6.0","2025-04-25T06:19:44.293Z","5_evkpyg","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","411049","0.0-7.0-0.0","2025-04-25T06:19:44.293Z","5_evkpyg","","","","","","","","","","","","",""
"","","","","","survey","8","562217","0.0-7.0-1.0","2025-04-25T06:19:44.293Z","5_evkpyg","151138","{""PCIRest1"":4,""PCIRest2"":2,""PCIRest3"":2,""PCIRest4"":2,""PCIRest5"":2,""PCIRest6"":2,""PCIRest7"":2,""PCIRest8"":2,""PCIRest9"":4,""PCIRest10"":4,""PCIRest11"":3,""PCIRest12"":4,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","562218","0.0-7.0-2.0","2025-04-25T06:19:44.293Z","5_evkpyg","","","","","","","","","","","","",""
"","","","","","instructions","10","614467","0.0-8.0","2025-04-25T06:19:44.293Z","5_evkpyg","52249","","instructions1","","","","[{""page_index"":0,""viewing_time"":52248}]","","","","","",""
"","","","","","html-button-response","11","1091532","0.0-9.0","2025-04-25T06:19:44.293Z","5_evkpyg","477063","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","3281664","0.0-10.0","2025-04-25T06:19:44.293Z","5_evkpyg","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","3281665","0.0-11.0-0.0","2025-04-25T06:19:44.293Z","5_evkpyg","","","","","","","","","","","","",""
"","","","","","survey","14","3714804","0.0-11.0-1.0","2025-04-25T06:19:44.293Z","5_evkpyg","433109","{""PCIGanz1"":6,""PCIGanz2"":2,""PCIGanz3"":1,""PCIGanz4"":4,""PCIGanz5"":2,""PCIGanz6"":2,""PCIGanz7"":2,""PCIGanz8"":0,""PCIGanz9"":2,""PCIGanz10"":3,""PCIGanz11"":4,""PCIGanz12"":4,""PCIGanz13"":2,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3714805","0.0-11.0-2.0","2025-04-25T06:19:44.293Z","5_evkpyg","","","","","","","","","","","","",""
"","","","","","survey","16","3775968","0.0-12.0","2025-04-25T06:19:44.293Z","5_evkpyg","61156","{""DSSQ"":{""DSSQ01"":4,""DSSQ02"":3,""DSSQ03"":1,""DSSQ04"":1,""DSSQ06"":4,""DSSQ05"":3,""DSSQ08"":1,""DSSQ07"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","3784211","0.0-13.0","2025-04-25T06:19:44.293Z","5_evkpyg","8241","55","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","3790043","0.0-14.0","2025-04-25T06:19:44.293Z","5_evkpyg","5831","61","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","3887420","0.0-15.0","2025-04-25T06:19:44.293Z","5_evkpyg","97377","","instructions2","","","","[{""page_index"":0,""viewing_time"":97375}]","","","","","",""
"","","","","","html-button-response","20","3890867","0.0-16.0","2025-04-25T06:19:44.293Z","5_evkpyg","3445","0","videoIntro","<p>Jetzt möchten wir, dass Sie sich zwei kurze Videos ansehen und bewerten, wie ähnlich sie Ihrem Ganzfeld-Erlebnis sind.</p>
            <p>Bitte klicken Sie auf ""Weiter"", wenn Sie bereit sind.</p>","","","","4","2","3","../video/12 C Battle Preparations.mp4","../video/12 D Meeting the Holy Guardian Angel.mp4",""
"true","false","[]","[]","[]","preload","21","3898558","0.0-17.0","2025-04-25T06:19:44.293Z","5_evkpyg","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","4214282","0.0-18.0-0.0","2025-04-25T06:19:44.293Z","5_evkpyg","315714","{""ClipA"":""35"",""ClipB"":""39""}","videoRating","","","","","","","","","",""
