"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","12838","0.0-0.0","2025-07-03T09:45:05.705Z","2_rgxwq0","","","","","","","","","","","","",""
"","","","","","survey","1","17765","0.0-1.0","2025-07-03T09:45:05.705Z","2_rgxwq0","4885","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","27653","0.0-2.0","2025-07-03T09:45:05.705Z","2_rgxwq0","9835","{""subject_id"":""2_rgxwq0""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","52027","0.0-3.0-0.0","2025-07-03T09:45:05.705Z","2_rgxwq0","24370","50","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","59076","0.0-3.0-1.0","2025-07-03T09:45:05.705Z","2_rgxwq0","7046","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","82646","0.0-3.0-2.0","2025-07-03T09:45:05.705Z","2_rgxwq0","23567","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","265155","0.0-3.0-3.0","2025-07-03T09:45:05.705Z","2_rgxwq0","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","265158","0.0-3.0-4.0-0.0","2025-07-03T09:45:05.705Z","2_rgxwq0","","","","","","","","","","","","",""
"","","","","","survey","8","430150","0.0-3.0-4.0-1.0","2025-07-03T09:45:05.705Z","2_rgxwq0","164892","{""PCIRest1"":6,""PCIRest2"":0,""PCIRest3"":6,""PCIRest4"":5,""PCIRest5"":1,""PCIRest6"":5,""PCIRest7"":4,""PCIRest8"":1,""PCIRest9"":1,""PCIRest10"":5,""PCIRest11"":1,""PCIRest12"":0,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","430152","0.0-3.0-4.0-2.0","2025-07-03T09:45:05.705Z","2_rgxwq0","","","","","","","","","","","","",""
