"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","12558","0.0-0.0","2025-06-11T13:56:47.523Z","2_4d48pu","","","","","","","","","","","","",""
"","","","","","survey","1","27848","0.0-1.0","2025-06-11T13:56:47.523Z","2_4d48pu","15249","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","38122","0.0-2.0","2025-06-11T13:56:47.523Z","2_4d48pu","10211","{""subject_id"":""2_4d48pu""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","69412","0.0-3.0-0.0","2025-06-11T13:56:47.523Z","2_4d48pu","31286","50","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","76560","0.0-3.0-1.0","2025-06-11T13:56:47.523Z","2_4d48pu","7144","86","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","98906","0.0-3.0-2.0","2025-06-11T13:56:47.523Z","2_4d48pu","22344","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","281419","0.0-3.0-3.0","2025-06-11T13:56:47.523Z","2_4d48pu","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","281422","0.0-3.0-4.0-0.0","2025-06-11T13:56:47.523Z","2_4d48pu","","","","","","","","","","","","",""
"","","","","","survey","8","502028","0.0-3.0-4.0-1.0","2025-06-11T13:56:47.523Z","2_4d48pu","220513","{""PCIRest1"":5,""PCIRest2"":3,""PCIRest3"":3,""PCIRest4"":5,""PCIRest5"":4,""PCIRest6"":3,""PCIRest7"":5,""PCIRest8"":1,""PCIRest9"":3,""PCIRest10"":1,""PCIRest11"":3,""PCIRest12"":3,""PCIRest13"":4,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","502030","0.0-3.0-4.0-2.0","2025-06-11T13:56:47.523Z","2_4d48pu","","","","","","","","","","","","",""
"","","","","","instructions","10","543254","0.0-3.0-5.0","2025-06-11T13:56:47.523Z","2_4d48pu","41219","","instructions1","","","","[{""page_index"":0,""viewing_time"":41219}]","","","","","",""
"","","","","","html-button-response","11","695460","0.0-3.0-6.0","2025-06-11T13:56:47.523Z","2_4d48pu","152177","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","2885628","0.0-3.0-7.0","2025-06-11T13:56:47.523Z","2_4d48pu","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","2885629","0.0-3.0-8.0-0.0","2025-06-11T13:56:47.523Z","2_4d48pu","","","","","","","","","","","","",""
"","","","","","survey","14","3026283","0.0-3.0-8.0-1.0","2025-06-11T13:56:47.523Z","2_4d48pu","140574","{""PCIGanz1"":5,""PCIGanz2"":3,""PCIGanz3"":3,""PCIGanz4"":5,""PCIGanz5"":4,""PCIGanz6"":3,""PCIGanz7"":2,""PCIGanz8"":1,""PCIGanz9"":2,""PCIGanz10"":2,""PCIGanz11"":4,""PCIGanz12"":3,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3026286","0.0-3.0-8.0-2.0","2025-06-11T13:56:47.523Z","2_4d48pu","","","","","","","","","","","","",""
"","","","","","survey","16","3116450","0.0-3.0-9.0","2025-06-11T13:56:47.523Z","2_4d48pu","90130","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":2,""DSSQ03"":2,""DSSQ04"":1,""DSSQ05"":3,""DSSQ06"":2,""DSSQ07"":2,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","3129877","0.0-3.0-10.0","2025-06-11T13:56:47.523Z","2_4d48pu","13425","57","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","3138113","0.0-3.0-11.0","2025-06-11T13:56:47.523Z","2_4d48pu","8234","45","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","3161499","0.0-4.0","2025-06-11T13:56:47.523Z","2_4d48pu","23384","","instructions2","","","","[{""page_index"":0,""viewing_time"":23384}]","","","","","",""
"","","","","","html-button-response","20","3164259","0.0-5.0","2025-06-11T13:56:47.523Z","2_4d48pu","2759","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","16","3","1","../video/24 D Dropping.mp4","../video/24 B Flying Frog.mp4",""
