"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","18823","0.0-0.0","2025-06-30T20:38:49.991Z","3_m75fep","","","","","","","","","","","","",""
"","","","","","survey","1","51947","0.0-1.0","2025-06-30T20:38:49.991Z","3_m75fep","33083","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","4492447","0.0-2.0","2025-06-30T20:38:49.991Z","3_m75fep","4440544","{""subject_id"":""3_m75fep""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","4703480","0.0-3.0-0.0","2025-06-30T20:38:49.991Z","3_m75fep","211028","74","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","4707268","0.0-3.0-1.0","2025-06-30T20:38:49.991Z","3_m75fep","3783","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","4741136","0.0-3.0-2.0","2025-06-30T20:38:49.991Z","3_m75fep","33863","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","4923742","0.0-3.0-3.0","2025-06-30T20:38:49.991Z","3_m75fep","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","4923747","0.0-3.0-4.0-0.0","2025-06-30T20:38:49.991Z","3_m75fep","","","","","","","","","","","","",""
"","","","","","survey","8","5038760","0.0-3.0-4.0-1.0","2025-06-30T20:38:49.991Z","3_m75fep","114890","{""PCIRest1"":1,""PCIRest2"":1,""PCIRest3"":0,""PCIRest4"":1,""PCIRest5"":1,""PCIRest6"":6,""PCIRest7"":2,""PCIRest8"":6,""PCIRest9"":0,""PCIRest10"":6,""PCIRest11"":2,""PCIRest12"":0,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","5038762","0.0-3.0-4.0-2.0","2025-06-30T20:38:49.991Z","3_m75fep","","","","","","","","","","","","",""
"","","","","","instructions","10","5126671","0.0-3.0-5.0","2025-06-30T20:38:49.991Z","3_m75fep","87907","","instructions1","","","","[{""page_index"":0,""viewing_time"":87906}]","","","","","",""
"","","","","","html-button-response","11","5259936","0.0-3.0-6.0","2025-06-30T20:38:49.991Z","3_m75fep","133259","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","7450067","0.0-3.0-7.0","2025-06-30T20:38:49.991Z","3_m75fep","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","7450069","0.0-3.0-8.0-0.0","2025-06-30T20:38:49.991Z","3_m75fep","","","","","","","","","","","","",""
"","","","","","survey","14","7832384","0.0-3.0-8.0-1.0","2025-06-30T20:38:49.991Z","3_m75fep","382236","{""PCIGanz1"":6,""PCIGanz2"":0,""PCIGanz3"":0,""PCIGanz4"":6,""PCIGanz5"":1,""PCIGanz6"":6,""PCIGanz7"":0,""PCIGanz8"":0,""PCIGanz9"":0,""PCIGanz10"":0,""PCIGanz11"":6,""PCIGanz12"":6,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","7832386","0.0-3.0-8.0-2.0","2025-06-30T20:38:49.991Z","3_m75fep","","","","","","","","","","","","",""
"","","","","","survey","16","7876956","0.0-3.0-9.0","2025-06-30T20:38:49.991Z","3_m75fep","44550","{""DSSQ"":{""DSSQ01"":5,""DSSQ02"":4,""DSSQ03"":4,""DSSQ04"":2,""DSSQ05"":5,""DSSQ06"":5,""DSSQ07"":3,""DSSQ08"":3},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","7885695","0.0-3.0-10.0","2025-06-30T20:38:49.991Z","3_m75fep","8736","72","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","7889799","0.0-3.0-11.0","2025-06-30T20:38:49.991Z","3_m75fep","4102","100","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","7931757","0.0-4.0","2025-06-30T20:38:49.991Z","3_m75fep","41957","","instructions2","","","","[{""page_index"":0,""viewing_time"":41956}]","","","","","",""
"","","","","","html-button-response","20","7935273","0.0-5.0","2025-06-30T20:38:49.991Z","3_m75fep","3513","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","13","0","1","../video/21 A Children of the Hydra Teeth.mp4","../video/21 B Into the Storm.mp4",""
"true","false","[]","[]","[]","preload","21","7941818","0.0-6.0","2025-06-30T20:38:49.991Z","3_m75fep","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","8088366","0.0-7.0-0.0","2025-06-30T20:38:49.991Z","3_m75fep","146543","{""ClipA"":""74"",""ClipB"":""0""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","8092498","0.0-8.0","2025-06-30T20:38:49.991Z","3_m75fep","4130","0","videoTargetIntro","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","","","","[""../video/21 B Into the Storm.mp4""]"
"","","","","","video-keyboard-response","24","8151293","0.0-9.0","2025-06-30T20:38:49.991Z","3_m75fep","null","null","videoTarget","[""../video/21 B Into the Storm.mp4""]","","","","","","","","",""
