"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","29706","0.0-0.0","2024-12-17T09:41:02.321Z","2_hxo9t0","","","","","","","","","","","","",""
"","","","","","survey","1","2938713","0.0-1.0","2024-12-17T09:41:02.321Z","2_hxo9t0","2908952","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","3053438","0.0-2.0","2024-12-17T09:41:02.321Z","2_hxo9t0","114661","{""subject_id"":""2_hxo9t0""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","3079803","0.0-3.0","2024-12-17T09:41:02.321Z","2_hxo9t0","26350","61","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","3092129","0.0-4.0","2024-12-17T09:41:02.321Z","2_hxo9t0","12322","99","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","3136536","0.0-5.0","2024-12-17T09:41:02.321Z","2_hxo9t0","44403","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","3319205","0.0-6.0","2024-12-17T09:41:02.321Z","2_hxo9t0","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","3319209","0.0-7.0-0.0","2024-12-17T09:41:02.321Z","2_hxo9t0","","","","","","","","","","","","",""
"","","","","","survey","8","3549965","0.0-7.0-1.0","2024-12-17T09:41:02.321Z","2_hxo9t0","230653","{""PCIRest1"":5,""PCIRest2"":3,""PCIRest3"":2,""PCIRest4"":5,""PCIRest5"":4,""PCIRest6"":3,""PCIRest7"":3,""PCIRest8"":3,""PCIRest9"":2,""PCIRest10"":3,""PCIRest11"":2,""PCIRest12"":4,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","3549970","0.0-7.0-2.0","2024-12-17T09:41:02.321Z","2_hxo9t0","","","","","","","","","","","","",""
"","","","","","instructions","10","3815650","0.0-8.0","2024-12-17T09:41:02.321Z","2_hxo9t0","265675","","instructions1","","","","[{""page_index"":0,""viewing_time"":265674}]","","","","","",""
"","","","","","html-button-response","11","3981695","0.0-9.0","2024-12-17T09:41:02.321Z","2_hxo9t0","166034","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","6224995","0.0-10.0","2024-12-17T09:41:02.321Z","2_hxo9t0","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","6224996","0.0-11.0-0.0","2024-12-17T09:41:02.321Z","2_hxo9t0","","","","","","","","","","","","",""
"","","","","","survey","14","6648657","0.0-11.0-1.0","2024-12-17T09:41:02.321Z","2_hxo9t0","423575","{""PCIGanz1"":6,""PCIGanz2"":5,""PCIGanz3"":2,""PCIGanz4"":6,""PCIGanz5"":4,""PCIGanz6"":2,""PCIGanz7"":3,""PCIGanz8"":1,""PCIGanz9"":3,""PCIGanz10"":2,""PCIGanz11"":3,""PCIGanz12"":5,""PCIGanz13"":3,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","6648660","0.0-11.0-2.0","2024-12-17T09:41:02.321Z","2_hxo9t0","","","","","","","","","","","","",""
"","","","","","survey","16","6718728","0.0-12.0","2024-12-17T09:41:02.321Z","2_hxo9t0","70035","{""DSSQ"":{""DSSQ01"":2,""DSSQ02"":2,""DSSQ03"":1,""DSSQ04"":1,""DSSQ05"":1,""DSSQ06"":1,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","6741158","0.0-13.0","2024-12-17T09:41:02.321Z","2_hxo9t0","22422","3","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","6757061","0.0-14.0","2024-12-17T09:41:02.321Z","2_hxo9t0","15896","45","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","7113430","0.0-15.0","2024-12-17T09:41:02.321Z","2_hxo9t0","356364","","instructions2","","","","[{""page_index"":0,""viewing_time"":356363}]","","","","","",""
"","","","","","html-button-response","20","7119674","0.0-16.0","2024-12-17T09:41:02.321Z","2_hxo9t0","6237","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","18","3","2","../video/26 D Chaise Longue.mp4","../video/26 C Neo Interrogation.mp4",""
"true","false","[]","[]","[]","preload","21","7150250","0.0-17.0","2024-12-17T09:41:02.321Z","2_hxo9t0","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","7615628","0.0-18.0-0.0","2024-12-17T09:41:02.321Z","2_hxo9t0","465354","{""ClipA"":""50"",""ClipB"":""85""}","videoRating","","","","","","","","","",""
