"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","11967","0.0-0.0","2025-12-22T17:23:51.473Z","2_dfz8nf","","","","","","","","","","","","",""
"","","","","","survey","1","39806","0.0-1.0","2025-12-22T17:23:51.473Z","2_dfz8nf","27801","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","41864","0.0-2.0","2025-12-22T17:23:51.473Z","2_dfz8nf","2004","{""subject_id"":""2_dfz8nf""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","56192","0.0-3.0-0.0","2025-12-22T17:23:51.473Z","2_dfz8nf","14324","77","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","62972","0.0-3.0-1.0","2025-12-22T17:23:51.473Z","2_dfz8nf","6776","81","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","107023","0.0-3.0-2.0","2025-12-22T17:23:51.473Z","2_dfz8nf","44048","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","289539","0.0-3.0-3.0","2025-12-22T17:23:51.473Z","2_dfz8nf","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","289542","0.0-3.0-4.0-0.0","2025-12-22T17:23:51.473Z","2_dfz8nf","","","","","","","","","","","","",""
"","","","","","survey","8","439882","0.0-3.0-4.0-1.0","2025-12-22T17:23:51.473Z","2_dfz8nf","150240","{""PCIRest1"":1,""PCIRest2"":4,""PCIRest3"":0,""PCIRest4"":2,""PCIRest5"":2,""PCIRest6"":2,""PCIRest7"":1,""PCIRest8"":1,""PCIRest9"":4,""PCIRest10"":1,""PCIRest11"":3,""PCIRest12"":3,""PCIRest13"":5,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","439884","0.0-3.0-4.0-2.0","2025-12-22T17:23:51.473Z","2_dfz8nf","","","","","","","","","","","","",""
"","","","","","instructions","10","528237","0.0-3.0-5.0","2025-12-22T17:23:51.473Z","2_dfz8nf","88349","","instructions1","","","","[{""page_index"":0,""viewing_time"":88349}]","","","","","",""
"","","","","","html-button-response","11","543149","0.0-3.0-6.0","2025-12-22T17:23:51.473Z","2_dfz8nf","14895","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","2733322","0.0-3.0-7.0","2025-12-22T17:23:51.473Z","2_dfz8nf","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","2733324","0.0-3.0-8.0-0.0","2025-12-22T17:23:51.473Z","2_dfz8nf","","","","","","","","","","","","",""
"","","","","","survey","14","3018344","0.0-3.0-8.0-1.0","2025-12-22T17:23:51.473Z","2_dfz8nf","284968","{""PCIGanz1"":6,""PCIGanz2"":5,""PCIGanz3"":6,""PCIGanz4"":5,""PCIGanz5"":6,""PCIGanz6"":5,""PCIGanz7"":1,""PCIGanz8"":0,""PCIGanz9"":3,""PCIGanz10"":0,""PCIGanz11"":4,""PCIGanz12"":5,""PCIGanz13"":6,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3018347","0.0-3.0-8.0-2.0","2025-12-22T17:23:51.473Z","2_dfz8nf","","","","","","","","","","","","",""
"","","","","","survey","16","3722091","0.0-3.0-9.0","2025-12-22T17:23:51.473Z","2_dfz8nf","703706","{""DSSQ"":{""DSSQ01"":1,""DSSQ02"":2,""DSSQ03"":1,""DSSQ04"":2,""DSSQ05"":1,""DSSQ06"":1,""DSSQ07"":3,""DSSQ08"":2},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","3733996","0.0-3.0-10.0","2025-12-22T17:23:51.473Z","2_dfz8nf","11902","8","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","3747563","0.0-3.0-11.0","2025-12-22T17:23:51.473Z","2_dfz8nf","13564","38","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","3754078","0.0-4.0","2025-12-22T17:23:51.473Z","2_dfz8nf","6513","","instructions2","","","","[{""page_index"":0,""viewing_time"":6513}]","","","","","",""
"","","","","","html-button-response","20","3757374","0.0-5.0","2025-12-22T17:23:51.473Z","2_dfz8nf","3292","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","8","1","3","../video/16 B Cheetah hunt.mp4","../video/16 D Bubbles.mp4",""
"true","false","[]","[]","[]","preload","21","3795524","0.0-6.0","2025-12-22T17:23:51.473Z","2_dfz8nf","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","4256594","0.0-7.0-0.0","2025-12-22T17:23:51.473Z","2_dfz8nf","461047","{""ClipA"":""20"",""ClipB"":""45""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","4259743","0.0-8.0","2025-12-22T17:23:51.473Z","2_dfz8nf","3146","0","videoTargetIntro","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","","","","[""../video/16 D Bubbles.mp4""]"
"","","","","","video-keyboard-response","24","4320152","0.0-9.0","2025-12-22T17:23:51.473Z","2_dfz8nf","null","null","videoTarget","[""../video/16 D Bubbles.mp4""]","","","","","","","","",""
