"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB"
"true","false","[]","[]","[]","preload","0","71883","0.0-0.0","2025-05-19T09:23:21.669Z","2_k4xqvv","","","","","","","","","","","",""
"","","","","","survey","1","4136624","0.0-1.0","2025-05-19T09:23:21.669Z","2_k4xqvv","4064562","{""testrun"":""Experiment""}","testrun","","","","","","","","",""
"","","","","","survey-text","2","4677367","0.0-2.0","2025-05-19T09:23:21.669Z","2_k4xqvv","540700","{""subject_id"":""2_k4xqvv""}","welcome","","","","","","","","",""
"","","","","","html-slider-response","3","4696593","0.0-3.0-0.0","2025-05-19T09:23:21.669Z","2_k4xqvv","19221","49","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","",""
"","","","","","html-slider-response","4","4701655","0.0-3.0-1.0","2025-05-19T09:23:21.669Z","2_k4xqvv","5060","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","",""
"","","","","","html-button-response","5","4714786","0.0-3.0-2.0","2025-05-19T09:23:21.669Z","2_k4xqvv","13129","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","",""
"","","","","","html-keyboard-response","6","4897358","0.0-3.0-3.0","2025-05-19T09:23:21.669Z","2_k4xqvv","null","null","rest","","","","","","","","",""
"","","","","","call-function","7","4897359","0.0-3.0-4.0-0.0","2025-05-19T09:23:21.669Z","2_k4xqvv","","","","","","","","","","","",""
"","","","","","survey","8","5076058","0.0-3.0-4.0-1.0","2025-05-19T09:23:21.669Z","2_k4xqvv","178633","{""PCIRest1"":3,""PCIRest2"":1,""PCIRest3"":5,""PCIRest4"":4,""PCIRest5"":2,""PCIRest6"":4,""PCIRest7"":5,""PCIRest8"":2,""PCIRest9"":1,""PCIRest10"":4,""PCIRest11"":1,""PCIRest12"":1,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","",""
"","","","","","call-function","9","5076059","0.0-3.0-4.0-2.0","2025-05-19T09:23:21.669Z","2_k4xqvv","","","","","","","","","","","",""
