"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","33338","0.0-0.0","2025-07-31T15:17:52.634Z","3_2kyte8","","","","","","","","","","","","",""
"","","","","","survey","1","105346421","0.0-1.0","2025-07-31T15:17:52.634Z","3_2kyte8","105328531","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","111256341","0.0-2.0","2025-07-31T15:17:52.634Z","3_2kyte8","5909923","{""subject_id"":""3_2kyte8""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","111500359","0.0-3.0-0.0","2025-07-31T15:17:52.634Z","3_2kyte8","244002","4","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","111508052","0.0-3.0-1.0","2025-07-31T15:17:52.634Z","3_2kyte8","7686","80","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","111521718","0.0-3.0-2.0","2025-07-31T15:17:52.634Z","3_2kyte8","13660","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","111704335","0.0-3.0-3.0","2025-07-31T15:17:52.634Z","3_2kyte8","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","111704340","0.0-3.0-4.0-0.0","2025-07-31T15:17:52.634Z","3_2kyte8","","","","","","","","","","","","",""
"","","","","","survey","8","112002722","0.0-3.0-4.0-1.0","2025-07-31T15:17:52.634Z","3_2kyte8","298235","{""PCIRest1"":2,""PCIRest2"":3,""PCIRest3"":2,""PCIRest4"":5,""PCIRest5"":0,""PCIRest6"":1,""PCIRest7"":5,""PCIRest8"":1,""PCIRest9"":2,""PCIRest10"":4,""PCIRest11"":4,""PCIRest12"":3,""PCIRest13"":2,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","112002724","0.0-3.0-4.0-2.0","2025-07-31T15:17:52.634Z","3_2kyte8","","","","","","","","","","","","",""
"","","","","","instructions","10","112100663","0.0-3.0-5.0","2025-07-31T15:17:52.634Z","3_2kyte8","97937","","instructions1","","","","[{""page_index"":0,""viewing_time"":97936}]","","","","","",""
"","","","","","html-button-response","11","112348679","0.0-3.0-6.0","2025-07-31T15:17:52.634Z","3_2kyte8","248005","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","114538798","0.0-3.0-7.0","2025-07-31T15:17:52.634Z","3_2kyte8","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
