"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","39377","0.0-0.0","2025-04-23T07:36:14.667Z","6_t79waa","","","","","","","","","","","","",""
"","","","","","survey","1","46009","0.0-1.0","2025-04-23T07:36:14.667Z","6_t79waa","6494","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","1895187","0.0-2.0","2025-04-23T07:36:14.667Z","6_t79waa","1860545","{""subject_id"":""6_t79waa""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","1902782","0.0-3.0","2025-04-23T07:36:14.667Z","6_t79waa","7589","3","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","1907277","0.0-4.0","2025-04-23T07:36:14.667Z","6_t79waa","4490","100","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","1945365","0.0-5.0","2025-04-23T07:36:14.667Z","6_t79waa","38085","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","2127883","0.0-6.0","2025-04-23T07:36:14.667Z","6_t79waa","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","2127887","0.0-7.0-0.0","2025-04-23T07:36:14.667Z","6_t79waa","","","","","","","","","","","","",""
"","","","","","survey","8","2254012","0.0-7.0-1.0","2025-04-23T07:36:14.667Z","6_t79waa","125920","{""PCIRest1"":2,""PCIRest2"":0,""PCIRest3"":1,""PCIRest4"":5,""PCIRest5"":0,""PCIRest6"":6,""PCIRest7"":2,""PCIRest8"":4,""PCIRest9"":1,""PCIRest10"":6,""PCIRest11"":4,""PCIRest12"":0,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","2254016","0.0-7.0-2.0","2025-04-23T07:36:14.667Z","6_t79waa","","","","","","","","","","","","",""
"","","","","","instructions","10","2309707","0.0-8.0","2025-04-23T07:36:14.667Z","6_t79waa","55686","","instructions1","","","","[{""page_index"":0,""viewing_time"":55685}]","","","","","",""
"","","","","","html-button-response","11","2542813","0.0-9.0","2025-04-23T07:36:14.667Z","6_t79waa","233045","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","4733069","0.0-10.0","2025-04-23T07:36:14.667Z","6_t79waa","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","4733072","0.0-11.0-0.0","2025-04-23T07:36:14.667Z","6_t79waa","","","","","","","","","","","","",""
"","","","","","survey","14","4885208","0.0-11.0-1.0","2025-04-23T07:36:14.667Z","6_t79waa","151965","{""PCIGanz1"":4,""PCIGanz2"":0,""PCIGanz3"":5,""PCIGanz4"":6,""PCIGanz5"":2,""PCIGanz6"":0,""PCIGanz7"":5,""PCIGanz8"":1,""PCIGanz9"":1,""PCIGanz10"":2,""PCIGanz11"":1,""PCIGanz12"":0,""PCIGanz13"":1,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","4885213","0.0-11.0-2.0","2025-04-23T07:36:14.667Z","6_t79waa","","","","","","","","","","","","",""
"","","","","","survey","16","4923881","0.0-12.0","2025-04-23T07:36:14.667Z","6_t79waa","38579","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":4,""DSSQ03"":1,""DSSQ04"":2,""DSSQ05"":1,""DSSQ06"":3,""DSSQ07"":1,""DSSQ08"":4},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","4931103","0.0-13.0","2025-04-23T07:36:14.667Z","6_t79waa","7216","68","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","4940210","0.0-14.0","2025-04-23T07:36:14.667Z","6_t79waa","9105","51","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","5011704","0.0-15.0","2025-04-23T07:36:14.667Z","6_t79waa","71490","","instructions2","","","","[{""page_index"":0,""viewing_time"":71490}]","","","","","",""
"","","","","","html-button-response","20","5014210","0.0-16.0","2025-04-23T07:36:14.667Z","6_t79waa","2502","0","videoIntro","<p>Jetzt möchten wir, dass Sie sich zwei kurze Videos ansehen und bewerten, wie ähnlich sie Ihrem Ganzfeld-Erlebnis sind.</p>
            <p>Bitte klicken Sie auf ""Weiter"", wenn Sie bereit sind.</p>","","","","6","3","2","../video/14 D Tiger Cubs.mp4","../video/14 C Car Crash.mp4",""
"true","false","[]","[]","[]","preload","21","5015342","0.0-17.0","2025-04-23T07:36:14.667Z","6_t79waa","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","5170219","0.0-18.0-0.0","2025-04-23T07:36:14.667Z","6_t79waa","154842","{""ClipA"":""60"",""ClipB"":""40""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","5174346","0.0-19.0","2025-04-23T07:36:14.667Z","6_t79waa","4121","0","videoTargetIntro","<p>Wir werden jetzt das Zielvideo auswählen.</p><p>Bitte sehen Sie sich das ausgewählte Video ein zweites Mal an.</p>","","","","","","","","","[""../video/14 D Tiger Cubs.mp4""]"
"","","","","","video-keyboard-response","24","5235303","0.0-20.0","2025-04-23T07:36:14.667Z","6_t79waa","null","null","videoTarget","[""../video/14 D Tiger Cubs.mp4""]","","","","","","","","",""
