"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history"
"true","false","[]","[]","[]","preload","0","12547","0.0-0.0","2025-07-02T11:47:32.064Z","2_vn356x","","","","","","",""
"","","","","","survey","1","17352","0.0-1.0","2025-07-02T11:47:32.064Z","2_vn356x","4778","{""testrun"":""Experiment""}","testrun","","","",""
"","","","","","survey-text","2","51524","0.0-2.0","2025-07-02T11:47:32.064Z","2_vn356x","34110","{""subject_id"":""2_vn356x""}","welcome","","","",""
"","","","","","html-slider-response","3","93649","0.0-3.0-0.0","2025-07-02T11:47:32.064Z","2_vn356x","42122","17","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","",""
"","","","","","html-slider-response","4","100909","0.0-3.0-1.0","2025-07-02T11:47:32.064Z","2_vn356x","7257","55","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","",""
"","","","","","html-button-response","5","156638","0.0-3.0-2.0","2025-07-02T11:47:32.064Z","2_vn356x","55725","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","",""
"","","","","","html-keyboard-response","6","341786","0.0-3.0-3.0","2025-07-02T11:47:32.064Z","2_vn356x","null","null","rest","","","",""
"","","","","","call-function","7","341788","0.0-3.0-4.0-0.0","2025-07-02T11:47:32.064Z","2_vn356x","","","","","","",""
"","","","","","survey","8","508231","0.0-3.0-4.0-1.0","2025-07-02T11:47:32.064Z","2_vn356x","166347","{""PCIRest1"":5,""PCIRest2"":0,""PCIRest3"":5,""PCIRest4"":5,""PCIRest5"":0,""PCIRest6"":6,""PCIRest7"":4,""PCIRest8"":1,""PCIRest9"":1,""PCIRest10"":5,""PCIRest11"":1,""PCIRest12"":1,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","",""
"","","","","","call-function","9","508233","0.0-3.0-4.0-2.0","2025-07-02T11:47:32.064Z","2_vn356x","","","","","","",""
"","","","","","instructions","10","617754","0.0-3.0-5.0","2025-07-02T11:47:32.064Z","2_vn356x","109518","","instructions1","","","","[{""page_index"":0,""viewing_time"":109518}]"
"","","","","","html-button-response","11","626931","0.0-3.0-6.0","2025-07-02T11:47:32.064Z","2_vn356x","9113","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","",""
