"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","28211","0.0-0.0","2024-12-17T18:51:09.633Z","3_wpb4fh","","","","","","","","","","","","",""
"","","","","","survey","1","36613","0.0-1.0","2024-12-17T18:51:09.633Z","3_wpb4fh","8310","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","5168381","0.0-2.0","2024-12-17T18:51:09.633Z","3_wpb4fh","5131778","{""subject_id"":""3_wpb4fh""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","5180435","0.0-3.0","2024-12-17T18:51:09.633Z","3_wpb4fh","12037","50","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","5187627","0.0-4.0","2024-12-17T18:51:09.633Z","3_wpb4fh","7185","93","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","5215125","0.0-5.0","2024-12-17T18:51:09.633Z","3_wpb4fh","27490","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","5397761","0.0-6.0","2024-12-17T18:51:09.633Z","3_wpb4fh","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","5397768","0.0-7.0-0.0","2024-12-17T18:51:09.633Z","3_wpb4fh","","","","","","","","","","","","",""
"","","","","","survey","8","5586207","0.0-7.0-1.0","2024-12-17T18:51:09.633Z","3_wpb4fh","188309","{""PCIRest1"":6,""PCIRest2"":3,""PCIRest3"":3,""PCIRest4"":5,""PCIRest5"":2,""PCIRest6"":3,""PCIRest7"":2,""PCIRest8"":1,""PCIRest9"":1,""PCIRest10"":4,""PCIRest11"":3,""PCIRest12"":4,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","5586209","0.0-7.0-2.0","2024-12-17T18:51:09.633Z","3_wpb4fh","","","","","","","","","","","","",""
"","","","","","instructions","10","5670749","0.0-8.0","2024-12-17T18:51:09.633Z","3_wpb4fh","84538","","instructions1","","","","[{""page_index"":0,""viewing_time"":84537}]","","","","","",""
"","","","","","html-button-response","11","5811007","0.0-9.0","2024-12-17T18:51:09.633Z","3_wpb4fh","140248","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","8001712","0.0-10.0","2024-12-17T18:51:09.633Z","3_wpb4fh","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","8001714","0.0-11.0-0.0","2024-12-17T18:51:09.633Z","3_wpb4fh","","","","","","","","","","","","",""
"","","","","","survey","14","8260277","0.0-11.0-1.0","2024-12-17T18:51:09.633Z","3_wpb4fh","258490","{""PCIGanz1"":6,""PCIGanz2"":4,""PCIGanz3"":1,""PCIGanz4"":6,""PCIGanz5"":5,""PCIGanz6"":1,""PCIGanz7"":1,""PCIGanz8"":1,""PCIGanz9"":1,""PCIGanz10"":1,""PCIGanz11"":3,""PCIGanz12"":2,""PCIGanz13"":5,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","8260280","0.0-11.0-2.0","2024-12-17T18:51:09.633Z","3_wpb4fh","","","","","","","","","","","","",""
"","","","","","survey","16","8327451","0.0-12.0","2024-12-17T18:51:09.633Z","3_wpb4fh","67148","{""DSSQ"":{""DSSQ01"":1,""DSSQ02"":3,""DSSQ03"":1,""DSSQ04"":1,""DSSQ05"":1,""DSSQ06"":1,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","8342809","0.0-13.0","2024-12-17T18:51:09.633Z","3_wpb4fh","15354","70","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","8349067","0.0-14.0","2024-12-17T18:51:09.633Z","3_wpb4fh","6252","88","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","8441208","0.0-15.0","2024-12-17T18:51:09.633Z","3_wpb4fh","92135","","instructions2","","","","[{""page_index"":0,""viewing_time"":92133}]","","","","","",""
"","","","","","html-button-response","20","8447918","0.0-16.0","2024-12-17T18:51:09.633Z","3_wpb4fh","6704","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","20","2","0","../video/28 C The Cantina.mp4","../video/28 A St Crispin’s day.mp4",""
"true","false","[]","[]","[]","preload","21","8457043","0.0-17.0","2024-12-17T18:51:09.633Z","3_wpb4fh","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","8626022","0.0-18.0-0.0","2024-12-17T18:51:09.633Z","3_wpb4fh","168964","{""ClipA"":""20"",""ClipB"":""10""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","8630573","0.0-19.0","2024-12-17T18:51:09.633Z","3_wpb4fh","4545","0","videoTargetIntro","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","","","","[""../video/28 C The Cantina.mp4""]"
"","","","","","video-keyboard-response","24","8693213","0.0-20.0","2024-12-17T18:51:09.633Z","3_wpb4fh","null","null","videoTarget","[""../video/28 C The Cantina.mp4""]","","","","","","","","",""
