"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","4325","0.0-0.0","2026-04-16T16:06:22.399Z","4_000022","","","","","","","","","","","","",""
"","","","","","survey","1","8525","0.0-1.0","2026-04-16T16:06:22.399Z","4_000022","4189","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","17378","0.0-2.0","2026-04-16T16:06:22.399Z","4_000022","8844","{""subject_id"":""4_000022""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","70401","0.0-3.0-0.0","2026-04-16T16:06:22.399Z","4_000022","53021","50","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","82049","0.0-3.0-1.0","2026-04-16T16:06:22.399Z","4_000022","11647","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","138530","0.0-3.0-2.0","2026-04-16T16:06:22.399Z","4_000022","56479","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","321146","0.0-3.0-3.0","2026-04-16T16:06:22.399Z","4_000022","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","321147","0.0-3.0-4.0-0.0","2026-04-16T16:06:22.399Z","4_000022","","","","","","","","","","","","",""
"","","","","","survey","8","526881","0.0-3.0-4.0-1.0","2026-04-16T16:06:22.399Z","4_000022","205710","{""PCIRest1"":6,""PCIRest2"":3,""PCIRest3"":0,""PCIRest4"":6,""PCIRest5"":4,""PCIRest6"":1,""PCIRest7"":0,""PCIRest8"":0,""PCIRest9"":0,""PCIRest10"":4,""PCIRest11"":6,""PCIRest12"":5,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","526881","0.0-3.0-4.0-2.0","2026-04-16T16:06:22.399Z","4_000022","","","","","","","","","","","","",""
"","","","","","instructions","10","657331","0.0-3.0-5.0","2026-04-16T16:06:22.399Z","4_000022","130449","","instructions1","","","","[{""page_index"":0,""viewing_time"":130449}]","","","","","",""
"","","","","","html-button-response","11","873412","0.0-3.0-6.0","2026-04-16T16:06:22.399Z","4_000022","216079","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","3063847","0.0-3.0-7.0","2026-04-16T16:06:22.399Z","4_000022","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","3063849","0.0-3.0-8.0-0.0","2026-04-16T16:06:22.399Z","4_000022","","","","","","","","","","","","",""
"","","","","","survey","14","3213644","0.0-3.0-8.0-1.0","2026-04-16T16:06:22.399Z","4_000022","149773","{""PCIGanz1"":5,""PCIGanz2"":5,""PCIGanz3"":0,""PCIGanz4"":6,""PCIGanz5"":6,""PCIGanz6"":0,""PCIGanz7"":0,""PCIGanz8"":0,""PCIGanz9"":0,""PCIGanz10"":0,""PCIGanz11"":6,""PCIGanz12"":6,""PCIGanz13"":6,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3213645","0.0-3.0-8.0-2.0","2026-04-16T16:06:22.399Z","4_000022","","","","","","","","","","","","",""
"","","","","","survey","16","3284313","0.0-3.0-9.0","2026-04-16T16:06:22.399Z","4_000022","70661","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":1,""DSSQ03"":2,""DSSQ04"":1,""DSSQ05"":3,""DSSQ06"":1,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","3302284","0.0-3.0-10.0","2026-04-16T16:06:22.399Z","4_000022","17971","0","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","3307260","0.0-3.0-11.0","2026-04-16T16:06:22.399Z","4_000022","4974","100","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","3538314","0.0-4.0","2026-04-16T16:06:22.399Z","4_000022","231048","","instructions2","","","","[{""page_index"":0,""viewing_time"":231047}]","","","","","",""
"","","","","","html-button-response","20","3540449","0.0-5.0","2026-04-16T16:06:22.399Z","4_000022","2133","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","13","2","1","../video/21 C Carpe diem.mp4","../video/21 B Into the Storm.mp4",""
"true","false","[]","[]","[]","preload","21","3543730","0.0-6.0","2026-04-16T16:06:22.399Z","4_000022","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","3710720","0.0-7.0-0.0","2026-04-16T16:06:22.399Z","4_000022","166982","{""ClipA"":""20"",""ClipB"":""0""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","3713527","0.0-8.0","2026-04-16T16:06:22.399Z","4_000022","2805","0","videoTargetIntro","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","","","","[""../video/21 B Into the Storm.mp4""]"
"","","","","","video-keyboard-response","24","3772082","0.0-9.0","2026-04-16T16:06:22.399Z","4_000022","null","null","videoTarget","[""../video/21 B Into the Storm.mp4""]","","","","","","","","",""
