"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","17881","0.0-0.0","2025-01-22T10:38:43.650Z","6_rq0rgr","","","","","","","","","","","","",""
"","","","","","survey","1","27730","0.0-1.0","2025-01-22T10:38:43.650Z","6_rq0rgr","9778","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","1877456","0.0-2.0","2025-01-22T10:38:43.650Z","6_rq0rgr","1849621","{""subject_id"":""6_rq0rgr""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","1883990","0.0-3.0","2025-01-22T10:38:43.650Z","6_rq0rgr","6528","18","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","1888942","0.0-4.0","2025-01-22T10:38:43.650Z","6_rq0rgr","4948","85","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","1901837","0.0-5.0","2025-01-22T10:38:43.650Z","6_rq0rgr","12893","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","2084353","0.0-6.0","2025-01-22T10:38:43.650Z","6_rq0rgr","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","2084356","0.0-7.0-0.0","2025-01-22T10:38:43.650Z","6_rq0rgr","","","","","","","","","","","","",""
"","","","","","survey","8","2191513","0.0-7.0-1.0","2025-01-22T10:38:43.650Z","6_rq0rgr","106994","{""PCIRest1"":5,""PCIRest2"":3,""PCIRest3"":2,""PCIRest4"":4,""PCIRest5"":1,""PCIRest6"":5,""PCIRest7"":2,""PCIRest8"":2,""PCIRest9"":1,""PCIRest10"":5,""PCIRest11"":4,""PCIRest12"":1,""PCIRest13"":2,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","2191516","0.0-7.0-2.0","2025-01-22T10:38:43.650Z","6_rq0rgr","","","","","","","","","","","","",""
