"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","18874","0.0-0.0","2024-11-18T13:07:04.435Z","6_bc8lk2","","","","","","","","","","","","",""
"","","","","","survey","1","2024796","0.0-1.0","2024-11-18T13:07:04.435Z","6_bc8lk2","2005860","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","2111195","0.0-2.0","2024-11-18T13:07:04.435Z","6_bc8lk2","86273","{""subject_id"":""6_bc8lk2""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","2124664","0.0-3.0","2024-11-18T13:07:04.435Z","6_bc8lk2","13467","61","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","2129489","0.0-4.0","2024-11-18T13:07:04.435Z","6_bc8lk2","4820","100","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","2158313","0.0-5.0","2024-11-18T13:07:04.435Z","6_bc8lk2","28820","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","2340818","0.0-6.0","2024-11-18T13:07:04.435Z","6_bc8lk2","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","2340819","0.0-7.0-0.0","2024-11-18T13:07:04.435Z","6_bc8lk2","","","","","","","","","","","","",""
"","","","","","survey","8","2483940","0.0-7.0-1.0","2024-11-18T13:07:04.435Z","6_bc8lk2","142960","{""PCIRest1"":5,""PCIRest2"":3,""PCIRest3"":1,""PCIRest4"":5,""PCIRest5"":3,""PCIRest6"":2,""PCIRest7"":2,""PCIRest8"":4,""PCIRest9"":2,""PCIRest10"":2,""PCIRest11"":5,""PCIRest12"":4,""PCIRest13"":2,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","2483943","0.0-7.0-2.0","2024-11-18T13:07:04.435Z","6_bc8lk2","","","","","","","","","","","","",""
"","","","","","instructions","10","2543962","0.0-8.0","2024-11-18T13:07:04.435Z","6_bc8lk2","60012","","instructions1","","","","[{""page_index"":0,""viewing_time"":60011}]","","","","","",""
"","","","","","html-button-response","11","2744988","0.0-9.0","2024-11-18T13:07:04.435Z","6_bc8lk2","200967","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","4924940","0.0-10.0","2024-11-18T13:07:04.435Z","6_bc8lk2","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","4924943","0.0-11.0-0.0","2024-11-18T13:07:04.435Z","6_bc8lk2","","","","","","","","","","","","",""
"","","","","","survey","14","5222230","0.0-11.0-1.0","2024-11-18T13:07:04.435Z","6_bc8lk2","297115","{""PCIGanz1"":5,""PCIGanz2"":6,""PCIGanz3"":1,""PCIGanz4"":6,""PCIGanz5"":4,""PCIGanz6"":1,""PCIGanz7"":1,""PCIGanz8"":1,""PCIGanz9"":0,""PCIGanz10"":2,""PCIGanz11"":6,""PCIGanz12"":5,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","5222236","0.0-11.0-2.0","2024-11-18T13:07:04.435Z","6_bc8lk2","","","","","","","","","","","","",""
"","","","","","survey","16","5253633","0.0-12.0","2024-11-18T13:07:04.435Z","6_bc8lk2","31309","{""DSSQ"":{""DSSQ01"":2,""DSSQ02"":1,""DSSQ03"":1,""DSSQ04"":1,""DSSQ05"":2,""DSSQ06"":2,""DSSQ07"":2,""DSSQ08"":2},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","5260847","0.0-13.0","2024-11-18T13:07:04.435Z","6_bc8lk2","7206","1","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","5266536","0.0-14.0","2024-11-18T13:07:04.435Z","6_bc8lk2","5685","0","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","5407951","0.0-15.0","2024-11-18T13:07:04.435Z","6_bc8lk2","141412","","instructions2","","","","[{""page_index"":0,""viewing_time"":141411}]","","","","","",""
"","","","","","html-button-response","20","5411191","0.0-16.0","2024-11-18T13:07:04.435Z","6_bc8lk2","3235","0","videoIntro","<p>Jetzt möchten wir, dass Sie sich zwei kurze Videos ansehen und bewerten, wie ähnlich sie Ihrem Ganzfeld-Erlebnis sind.</p>
            <p>Bitte klicken Sie auf ""Weiter"", wenn Sie bereit sind.</p>","","","","1","2","0","../video/2 C Insect Typewriter.mp4","../video/2 A Gift Giving.mp4",""
"true","false","[]","[]","[]","preload","21","5411921","0.0-17.0","2024-11-18T13:07:04.435Z","6_bc8lk2","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","5560841","0.0-18.0-0.0","2024-11-18T13:07:04.435Z","6_bc8lk2","148891","{""ClipA"":""90"",""ClipB"":""19""}","videoRating","","","","","","","","","",""
