"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","18702","0.0-0.0","2025-05-16T20:24:10.795Z","3_94kuu2","","","","","","","","","","","","",""
"","","","","","survey","1","81672","0.0-1.0","2025-05-16T20:24:10.795Z","3_94kuu2","62899","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","4442367","0.0-2.0","2025-05-16T20:24:10.795Z","3_94kuu2","4360703","{""subject_id"":""3_94kuu2""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","4666718","0.0-3.0-0.0","2025-05-16T20:24:10.795Z","3_94kuu2","224343","50","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","4675360","0.0-3.0-1.0","2025-05-16T20:24:10.795Z","3_94kuu2","8636","75","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","4940643","0.0-3.0-2.0","2025-05-16T20:24:10.795Z","3_94kuu2","265276","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","5123264","0.0-3.0-3.0","2025-05-16T20:24:10.795Z","3_94kuu2","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","5123268","0.0-3.0-4.0-0.0","2025-05-16T20:24:10.795Z","3_94kuu2","","","","","","","","","","","","",""
"","","","","","survey","8","5321585","0.0-3.0-4.0-1.0","2025-05-16T20:24:10.795Z","3_94kuu2","198189","{""PCIRest1"":2,""PCIRest2"":null,""PCIRest3"":null,""PCIRest4"":3,""PCIRest5"":3,""PCIRest6"":5,""PCIRest7"":6,""PCIRest8"":4,""PCIRest9"":3,""PCIRest10"":6,""PCIRest11"":3,""PCIRest12"":3,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","5321587","0.0-3.0-4.0-2.0","2025-05-16T20:24:10.795Z","3_94kuu2","","","","","","","","","","","","",""
"","","","","","instructions","10","5365285","0.0-3.0-5.0","2025-05-16T20:24:10.795Z","3_94kuu2","43697","","instructions1","","","","[{""page_index"":0,""viewing_time"":43694}]","","","","","",""
