"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","6527","0.0-0.0","2025-11-24T14:32:13.329Z","2_mjzhe5","","","","","","","","","","","","",""
"","","","","","survey","1","10836","0.0-1.0","2025-11-24T14:32:13.329Z","2_mjzhe5","4284","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","13653","0.0-2.0","2025-11-24T14:32:13.329Z","2_mjzhe5","2789","{""subject_id"":""2_mjzhe5""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","32049","0.0-3.0-0.0","2025-11-24T14:32:13.329Z","2_mjzhe5","18393","43","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","37829","0.0-3.0-1.0","2025-11-24T14:32:13.329Z","2_mjzhe5","5780","93","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","99911","0.0-3.0-2.0","2025-11-24T14:32:13.329Z","2_mjzhe5","62080","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","282412","0.0-3.0-3.0","2025-11-24T14:32:13.329Z","2_mjzhe5","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","282414","0.0-3.0-4.0-0.0","2025-11-24T14:32:13.329Z","2_mjzhe5","","","","","","","","","","","","",""
"","","","","","survey","8","389759","0.0-3.0-4.0-1.0","2025-11-24T14:32:13.329Z","2_mjzhe5","107294","{""PCIRest1"":1,""PCIRest2"":3,""PCIRest3"":2,""PCIRest4"":2,""PCIRest5"":4,""PCIRest6"":3,""PCIRest7"":2,""PCIRest8"":5,""PCIRest9"":6,""PCIRest10"":2,""PCIRest11"":4,""PCIRest12"":3,""PCIRest13"":4,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","389761","0.0-3.0-4.0-2.0","2025-11-24T14:32:13.329Z","2_mjzhe5","","","","","","","","","","","","",""
