"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","19780","0.0-0.0","2024-12-04T08:49:12.347Z","6_zjd433","","","","","","","","","","","","",""
"","","","","","survey","1","635555","0.0-1.0","2024-12-04T08:49:12.347Z","6_zjd433","615721","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","1099371","0.0-2.0","2024-12-04T08:49:12.347Z","6_zjd433","463689","{""subject_id"":""6_zjd433""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","1123080","0.0-3.0","2024-12-04T08:49:12.347Z","6_zjd433","23703","72","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","1129934","0.0-4.0","2024-12-04T08:49:12.347Z","6_zjd433","6850","89","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","1135400","0.0-5.0","2024-12-04T08:49:12.347Z","6_zjd433","5462","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","1323546","0.0-6.0","2024-12-04T08:49:12.347Z","6_zjd433","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","1323548","0.0-7.0-0.0","2024-12-04T08:49:12.347Z","6_zjd433","","","","","","","","","","","","",""
"","","","","","survey","8","1722712","0.0-7.0-1.0","2024-12-04T08:49:12.347Z","6_zjd433","399016","{""PCIRest1"":4,""PCIRest4"":5,""PCIRest3"":6,""PCIRest2"":0,""PCIRest5"":2,""PCIRest6"":1,""PCIRest7"":6,""PCIRest8"":2,""PCIRest9"":1,""PCIRest10"":3,""PCIRest11"":0,""PCIRest12"":3,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","1722719","0.0-7.0-2.0","2024-12-04T08:49:12.347Z","6_zjd433","","","","","","","","","","","","",""
"","","","","","instructions","10","1827320","0.0-8.0","2024-12-04T08:49:12.347Z","6_zjd433","104593","","instructions1","","","","[{""page_index"":0,""viewing_time"":104593}]","","","","","",""
"","","","","","html-button-response","11","1951897","0.0-9.0","2024-12-04T08:49:12.347Z","6_zjd433","124513","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","4142078","0.0-10.0","2024-12-04T08:49:12.347Z","6_zjd433","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","4142081","0.0-11.0-0.0","2024-12-04T08:49:12.347Z","6_zjd433","","","","","","","","","","","","",""
