"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","18101","0.0-0.0","2024-10-29T17:50:50.847Z","3_qgzxzs","","","","","","","","","","","","",""
"","","","","","survey","1","37373","0.0-1.0","2024-10-29T17:50:50.847Z","3_qgzxzs","19231","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","3285562","0.0-2.0","2024-10-29T17:50:50.847Z","3_qgzxzs","3248166","{""subject_id"":""3_qgzxzs""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","3297743","0.0-3.0","2024-10-29T17:50:50.847Z","3_qgzxzs","12168","50","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","3306138","0.0-4.0","2024-10-29T17:50:50.847Z","3_qgzxzs","8390","93","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","3327891","0.0-5.0","2024-10-29T17:50:50.847Z","3_qgzxzs","21747","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","3510471","0.0-6.0","2024-10-29T17:50:50.847Z","3_qgzxzs","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","3510475","0.0-7.0-0.0","2024-10-29T17:50:50.847Z","3_qgzxzs","","","","","","","","","","","","",""
"","","","","","survey","8","3627929","0.0-7.0-1.0","2024-10-29T17:50:50.847Z","3_qgzxzs","117327","{""PCIRest1"":4,""PCIRest2"":2,""PCIRest3"":2,""PCIRest4"":5,""PCIRest5"":4,""PCIRest6"":4,""PCIRest7"":1,""PCIRest8"":2,""PCIRest9"":2,""PCIRest10"":3,""PCIRest11"":4,""PCIRest12"":3,""PCIRest13"":4,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","3627931","0.0-7.0-2.0","2024-10-29T17:50:50.847Z","3_qgzxzs","","","","","","","","","","","","",""
"","","","","","instructions","10","3704940","0.0-8.0","2024-10-29T17:50:50.847Z","3_qgzxzs","77007","","instructions1","","","","[{""page_index"":0,""viewing_time"":77006}]","","","","","",""
"","","","","","html-button-response","11","3854211","0.0-9.0","2024-10-29T17:50:50.847Z","3_qgzxzs","149261","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","6044348","0.0-10.0","2024-10-29T17:50:50.847Z","3_qgzxzs","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","6044352","0.0-11.0-0.0","2024-10-29T17:50:50.847Z","3_qgzxzs","","","","","","","","","","","","",""
"","","","","","survey","14","6271645","0.0-11.0-1.0","2024-10-29T17:50:50.847Z","3_qgzxzs","227038","{""PCIGanz1"":4,""PCIGanz2"":3,""PCIGanz3"":2,""PCIGanz4"":5,""PCIGanz5"":4,""PCIGanz6"":3,""PCIGanz7"":2,""PCIGanz8"":3,""PCIGanz9"":1,""PCIGanz10"":2,""PCIGanz11"":4,""PCIGanz12"":4,""PCIGanz13"":2,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","6271647","0.0-11.0-2.0","2024-10-29T17:50:50.847Z","3_qgzxzs","","","","","","","","","","","","",""
"","","","","","survey","16","6360498","0.0-12.0","2024-10-29T17:50:50.847Z","3_qgzxzs","88825","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":3,""DSSQ03"":2,""DSSQ04"":3,""DSSQ05"":3,""DSSQ06"":3,""DSSQ07"":3,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","6376132","0.0-13.0","2024-10-29T17:50:50.847Z","3_qgzxzs","15631","62","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","6382931","0.0-14.0","2024-10-29T17:50:50.847Z","3_qgzxzs","6797","77","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","6483374","0.0-15.0","2024-10-29T17:50:50.847Z","3_qgzxzs","100437","","instructions2","","","","[{""page_index"":0,""viewing_time"":100435}]","","","","","",""
"","","","","","html-button-response","20","6486292","0.0-16.0","2024-10-29T17:50:50.847Z","3_qgzxzs","2914","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","6","1","0","../video/14 B Surfing.mp4","../video/14 A The Mist.mp4",""
"true","false","[]","[]","[]","preload","21","6491060","0.0-17.0","2024-10-29T17:50:50.847Z","3_qgzxzs","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","6642716","0.0-18.0-0.0","2024-10-29T17:50:50.847Z","3_qgzxzs","151633","{""ClipA"":""78"",""ClipB"":""0""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","6647911","0.0-19.0","2024-10-29T17:50:50.847Z","3_qgzxzs","5190","0","videoTargetIntro","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","","","","[""../video/14 A The Mist.mp4""]"
"","","","","","video-keyboard-response","24","6713490","0.0-20.0","2024-10-29T17:50:50.847Z","3_qgzxzs","null","null","videoTarget","[""../video/14 A The Mist.mp4""]","","","","","","","","",""
