"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","29145","0.0-0.0","2025-01-22T09:24:06.525Z","6_tfqx7m","","","","","","","","","","","","",""
"","","","","","survey","1","153361","0.0-1.0","2025-01-22T09:24:06.525Z","6_tfqx7m","124128","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","1065002","0.0-2.0","2025-01-22T09:24:06.525Z","6_tfqx7m","913090","{""subject_id"":""6_tfqx7m""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","1071950","0.0-3.0","2025-01-22T09:24:06.525Z","6_tfqx7m","6942","2","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","1078167","0.0-4.0","2025-01-22T09:24:06.525Z","6_tfqx7m","6214","40","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","1087935","0.0-5.0","2025-01-22T09:24:06.525Z","6_tfqx7m","9764","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","1270440","0.0-6.0","2025-01-22T09:24:06.525Z","6_tfqx7m","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","1270442","0.0-7.0-0.0","2025-01-22T09:24:06.525Z","6_tfqx7m","","","","","","","","","","","","",""
"","","","","","survey","8","1363380","0.0-7.0-1.0","2025-01-22T09:24:06.525Z","6_tfqx7m","92764","{""PCIRest2"":0,""PCIRest1"":1,""PCIRest3"":2,""PCIRest4"":2,""PCIRest5"":0,""PCIRest6"":6,""PCIRest7"":2,""PCIRest8"":2,""PCIRest9"":5,""PCIRest10"":5,""PCIRest11"":0,""PCIRest12"":1,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","1363384","0.0-7.0-2.0","2025-01-22T09:24:06.525Z","6_tfqx7m","","","","","","","","","","","","",""
"","","","","","instructions","10","1433366","0.0-8.0","2025-01-22T09:24:06.525Z","6_tfqx7m","69978","","instructions1","","","","[{""page_index"":0,""viewing_time"":69978}]","","","","","",""
"","","","","","html-button-response","11","1567256","0.0-9.0","2025-01-22T09:24:06.525Z","6_tfqx7m","133827","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","3757381","0.0-10.0","2025-01-22T09:24:06.525Z","6_tfqx7m","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","3757384","0.0-11.0-0.0","2025-01-22T09:24:06.525Z","6_tfqx7m","","","","","","","","","","","","",""
