"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","6401","0.0-0.0","2024-12-12T09:35:57.074Z","5_fskh8n","","","","","","","","","","","","",""
"","","","","","survey","1","10950","0.0-1.0","2024-12-12T09:35:57.074Z","5_fskh8n","4521","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","163369","0.0-2.0","2024-12-12T09:35:57.074Z","5_fskh8n","152403","{""subject_id"":""5_fskh8n""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","176040","0.0-3.0","2024-12-12T09:35:57.074Z","5_fskh8n","12669","6","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","180840","0.0-4.0","2024-12-12T09:35:57.074Z","5_fskh8n","4798","78","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","205512","0.0-5.0","2024-12-12T09:35:57.074Z","5_fskh8n","24671","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","388028","0.0-6.0","2024-12-12T09:35:57.074Z","5_fskh8n","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","388031","0.0-7.0-0.0","2024-12-12T09:35:57.074Z","5_fskh8n","","","","","","","","","","","","",""
"","","","","","survey","8","559984","0.0-7.0-1.0","2024-12-12T09:35:57.074Z","5_fskh8n","171914","{""PCIRest1"":3,""PCIRest2"":3,""PCIRest3"":2,""PCIRest4"":4,""PCIRest5"":2,""PCIRest6"":3,""PCIRest7"":2,""PCIRest8"":2,""PCIRest9"":2,""PCIRest10"":3,""PCIRest11"":4,""PCIRest12"":3,""PCIRest13"":4,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","559985","0.0-7.0-2.0","2024-12-12T09:35:57.074Z","5_fskh8n","","","","","","","","","","","","",""
"","","","","","instructions","10","677513","0.0-8.0","2024-12-12T09:35:57.074Z","5_fskh8n","117527","","instructions1","","","","[{""page_index"":0,""viewing_time"":117527}]","","","","","",""
