"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","48704","0.0-0.0","2025-01-17T13:33:12.578Z","2_jfp08v","","","","","","","","","","","","",""
"","","","","","survey","1","56025","0.0-1.0","2025-01-17T13:33:12.578Z","2_jfp08v","7281","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","97949","0.0-2.0","2025-01-17T13:33:12.578Z","2_jfp08v","41874","{""subject_id"":""2_jfp08v""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","113916","0.0-3.0","2025-01-17T13:33:12.578Z","2_jfp08v","15964","49","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","118777","0.0-4.0","2025-01-17T13:33:12.578Z","2_jfp08v","4858","93","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","155108","0.0-5.0","2025-01-17T13:33:12.578Z","2_jfp08v","36327","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","337613","0.0-6.0","2025-01-17T13:33:12.578Z","2_jfp08v","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","337616","0.0-7.0-0.0","2025-01-17T13:33:12.578Z","2_jfp08v","","","","","","","","","","","","",""
"","","","","","survey","8","496876","0.0-7.0-1.0","2025-01-17T13:33:12.578Z","2_jfp08v","159158","{""PCIRest1"":4,""PCIRest2"":2,""PCIRest3"":0,""PCIRest4"":2,""PCIRest5"":0,""PCIRest6"":1,""PCIRest7"":0,""PCIRest8"":4,""PCIRest9"":3,""PCIRest10"":2,""PCIRest11"":3,""PCIRest12"":1,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","496878","0.0-7.0-2.0","2025-01-17T13:33:12.578Z","2_jfp08v","","","","","","","","","","","","",""
"","","","","","instructions","10","524814","0.0-8.0","2025-01-17T13:33:12.578Z","2_jfp08v","27933","","instructions1","","","","[{""page_index"":0,""viewing_time"":27933}]","","","","","",""
"","","","","","html-button-response","11","714826","0.0-9.0","2025-01-17T13:33:12.578Z","2_jfp08v","189981","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","2905004","0.0-10.0","2025-01-17T13:33:12.578Z","2_jfp08v","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","2905007","0.0-11.0-0.0","2025-01-17T13:33:12.578Z","2_jfp08v","","","","","","","","","","","","",""
"","","","","","survey","14","3102367","0.0-11.0-1.0","2025-01-17T13:33:12.578Z","2_jfp08v","197268","{""PCIGanz1"":5,""PCIGanz2"":3,""PCIGanz3"":3,""PCIGanz4"":5,""PCIGanz5"":4,""PCIGanz6"":2,""PCIGanz7"":2,""PCIGanz8"":1,""PCIGanz9"":1,""PCIGanz10"":2,""PCIGanz11"":3,""PCIGanz12"":3,""PCIGanz13"":3,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3102371","0.0-11.0-2.0","2025-01-17T13:33:12.578Z","2_jfp08v","","","","","","","","","","","","",""
"","","","","","survey","16","3171250","0.0-12.0","2025-01-17T13:33:12.578Z","2_jfp08v","68854","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":3,""DSSQ03"":3,""DSSQ04"":1,""DSSQ05"":1,""DSSQ06"":4,""DSSQ07"":1,""DSSQ08"":5},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","3187106","0.0-13.0","2025-01-17T13:33:12.578Z","2_jfp08v","15850","25","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","3198068","0.0-14.0","2025-01-17T13:33:12.578Z","2_jfp08v","10959","42","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","3687886","0.0-15.0","2025-01-17T13:33:12.578Z","2_jfp08v","489815","","instructions2","","","","[{""page_index"":0,""viewing_time"":489815}]","","","","","",""
"","","","","","html-button-response","20","3692614","0.0-16.0","2025-01-17T13:33:12.578Z","2_jfp08v","4723","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","21","3","0","../video/29 D Time Warp.mp4","../video/29 A Glow worms in motion.mp4",""
"true","false","[]","[]","[]","preload","21","3862799","0.0-17.0","2025-01-17T13:33:12.578Z","2_jfp08v","","","","","","","","","","","","",""
